id,color,roll,created_at,updated_at,status,room_id,total_red_eur_bet,total_red_bets_placed,total_white_eur_bet,total_white_bets_placed,total_black_eur_bet,total_black_bets_placed
AXlOPmz3rO,2,11,2024-09-26T01:30:40.885Z,2024-09-26T01:31:05.895Z,complete,4,468.04707851387735,127,4563.402413778842,609,210.31819263663954,70
OWldJbon13,1,7,2024-09-27T21:14:51.966Z,2024-09-27T21:15:16.977Z,complete,4,155.11253374627418,77,814.7002007528739,491,295.660988400218,91
AXlOPaYmrO,1,7,2024-09-27T21:15:21.994Z,2024-09-27T21:15:47.006Z,complete,4,192.57435227103727,74,891.1923568949342,504,439.2690063204088,127
M9rKzqAXl6,2,11,2024-09-27T21:15:52.026Z,2024-09-27T21:16:17.037Z,complete,4,284.4711245328612,83,1122.9283386270822,509,356.17431098574565,100
WG177Z0X1Z,2,12,2024-09-27T21:16:22.054Z,2024-09-27T21:16:47.063Z,complete,4,126.81032870940265,71,880.7427671769825,491,202.42176816462145,71
BylLGWyWkG,0,0,2024-09-27T21:16:52.082Z,2024-09-27T21:17:17.092Z,complete,4,154.13889994483202,72,1046.1540026459284,493,281.9173720395033,83
gM19eA9E1A,2,8,2024-09-27T21:17:22.109Z,2024-09-27T21:17:47.125Z,complete,4,132.37452750269821,71,1276.4028196597055,563,247.0459912212697,71
xmlNxGpv1v,1,7,2024-09-27T21:17:52.141Z,2024-09-27T21:18:07.144Z,rolling,4,419.76757567953376,107,1379.7497971443825,514,195.8980325843834,83
7dlEmEmRlv,1,6,2024-09-27T21:18:22.168Z,2024-09-27T21:18:47.178Z,complete,4,244.54598874810927,99,996.4219487313107,514,170.49908707404344,89
QqlPXRXelz,,,2024-09-27T21:18:52.194Z,2024-09-27T21:18:52.194Z,waiting,4,147.75798113605117,73,954.3103577537958,481,384.8551568857568,105
EV1eJpJgko,1,4,2024-09-27T21:19:22.219Z,2024-09-27T21:19:47.238Z,complete,4,242.98131004516486,83,871.235008851298,509,320.5906541821994,107
Nz1xpapO1p,0,0,2024-09-27T21:19:52.254Z,2024-09-27T21:20:17.266Z,complete,4,340.7124734764391,80,899.6566656220419,524,226.72437956247683,103
V5k0yVyGlY,2,11,2024-09-27T21:20:22.282Z,2024-09-27T21:20:47.294Z,complete,4,232.03070660892084,79,1360.5129474295288,570,230.28706002856316,92
vRl8LJLglK,1,2,2024-09-27T21:20:52.311Z,2024-09-27T21:21:17.322Z,complete,4,160.95870242216532,77,1218.4843846213575,545,198.7593474079373,96
3V1qDxDarB,2,10,2024-09-27T21:21:22.338Z,2024-09-27T21:21:47.348Z,complete,4,180.36931046239033,94,962.459752499049,514,239.84478618924342,104
MerWnmnelX,1,3,2024-09-27T21:21:52.365Z,2024-09-27T21:22:17.377Z,complete,4,322.82900626678605,155,956.413295133907,497,163.46208825966718,67
N8r2pjpDkb,1,7,2024-09-27T21:22:22.393Z,2024-09-27T21:22:47.403Z,complete,4,228.14002957159744,62,1268.6647291817144,528,502.42865765611236,159
Y8kG3e3dkZ,2,11,2024-09-27T21:22:52.419Z,2024-09-27T21:23:17.431Z,complete,4,212.60401594355002,81,1298.434475753487,551,321.22659347753984,107
DV1aMJMM1e,1,7,2024-09-27T21:23:22.448Z,2024-09-27T21:23:47.459Z,complete,4,508.4709954963707,76,1179.4963679913471,550,271.93171607377644,104
JblRP4Pn1O,2,13,2024-09-27T21:23:52.476Z,2024-09-27T21:24:17.487Z,complete,4,383.03561526999124,113,1218.532352369103,565,260.15455468677527,86
AKl5O6Oj19,,,2024-09-27T21:24:22.504Z,2024-09-27T21:24:22.504Z,waiting,4,0.30814046129780526,2,12.817918153609176,21,0.13182479627713595,2
